,Title,Most_Pronouns,Introduction,Stableness_Cases,Birth,Death
252,Lazarus Aaronson,Male,"Lazarus Leonard Aaronson MBE (24 December 1894 – 9 December 1966), often referred to as L. Aaronson, was a British poet and a lecturer in economics. As a young man, he belonged to a group of Jewish friends who are today known as the Whitechapel Boys, many of whom later achieved fame as writers and artists. Though less radical in his use of language, he has been compared to his more renowned Whitechapel friend, Isaac Rosenberg, in terms of diction and verbal energy. Aaronson's poetry is characterised more as 'post-Georgian' than modernistic, and reviewers have since been able to trace influences back to both the English poet John Keats, and Hebrew poets such as Shaul Tchernichovsky and Zalman Shneur.",Failure,1894,1966
253,Chinua Achebe,Male,"Chinua Achebe (/ˈtʃɪnwɑː əˈtʃɛbeɪ/; born Albert Chinụalụmọgụ Achebe, 16 November 1930 – 21 March 2013) was a Nigerian novelist, poet, professor, and critic.[1]  His first novel Things Fall Apart (1958), often considered his masterpiece,[2] is the most widely read book in modern African literature.[3]",Success,None,None
254,Eliza Acton,Female,"Elizabeth ""Eliza"" Acton (17 April 1799 – 13 February 1859) was an English food writer and poet, who produced one of Britain's first cookery books aimed at the domestic reader, Modern Cookery for Private Families. The book introduced the now-universal practice of listing ingredients and giving suggested cooking times for each recipe. It included the first recipes in English for Brussels sprouts and for spaghetti. It also contains the first recipe for what Acton called ""Christmas pudding""; the dish was normally called plum pudding, recipes for which had appeared previously, although Acton was the first to put the name and recipe together.",Success,1799,None
255,Mário de Andrade,Male,"Mário Raul de Morais Andrade (October 9, 1893 – February 25, 1945) was a Brazilian poet, novelist, musicologist, art historian and critic, and photographer.  One of the founders of Brazilian modernism, he virtually created modern Brazilian poetry with the publication of his Paulicéia Desvairada (Hallucinated City) in 1922.  He has had an enormous influence on modern Brazilian literature, and as a scholar and essayist—he was a pioneer of the field of ethnomusicology—his influence has reached far beyond Brazil.[1]",Unknown,1893,None
256,Maya Angelou,Female,"Maya Angelou (/ˈændʒəloʊ/ (listen);[1][2] born Marguerite Annie Johnson; April 4, 1928 – May 28, 2014) was an American poet, singer, memoirist, and civil rights activist. She published seven autobiographies, three books of essays, several books of poetry, and is credited with a list of plays, movies, and television shows spanning over 50 years.  She received dozens of awards and more than 50 honorary degrees.[3]  Angelou is best known for her series of seven autobiographies, which focus on her childhood and early adult experiences.  The first, I Know Why the Caged Bird Sings (1969), tells of her life up to the age of 17 and brought her international recognition and acclaim.",Success,None,None
257,"Augusta, Lady Gregory",Female,"Isabella Augusta, Lady Gregory (née Persse; 15 March 1852 – 22 May 1932)[1] was an Irish dramatist, folklorist and theatre manager. With William Butler Yeats and Edward Martyn, she co-founded the Irish Literary Theatre and the Abbey Theatre, and wrote numerous short works for both companies. Lady Gregory produced a number of books of retellings of stories taken from Irish mythology. Born into a class that identified closely with British rule, she turned against it. Her conversion to cultural nationalism, as evidenced by her writings, was emblematic of many of the political struggles to occur in Ireland during her lifetime.",Success,1852,1932
258,James Robert Baker,Male,"James Robert Baker (October 18, 1947 – November 5, 1997) was an American author of sharply satirical, predominantly gay-themed transgressional fiction. A native Californian, his work is set almost entirely in Southern California. After graduating from UCLA, he began his career as a screenwriter, but became disillusioned and started writing novels instead. Though he garnered fame for his books Fuel-Injected Dreams and Boy Wonder, after the controversy surrounding publication of his novel, Tim and Pete, he faced increasing difficulty having his work published.  According to his life partner, this was a contributing factor in his suicide.",Success,1947,None
259,Honoré de Balzac,Male,"Honoré de Balzac (/ˈbælzæk/ BAL-zak,[2] more commonly US: /ˈbɔːl-/ BAWL-,[3][4][5] French: [ɔnɔʁe d(ə) balzak]; born Honoré Balzac;[1] 20 May 1799 – 18 August 1850) was a French novelist and playwright. The novel sequence La Comédie humaine, which presents a panorama of post-Napoleonic French life, is generally viewed as his magnum opus.",Success,1799,1850
260,Ann Bannon,Female,"Ann Weldy (born September 15, 1932), better known by her pen name Ann Bannon, is an American author who, from 1957 to 1962, wrote six lesbian pulp fiction novels known as The Beebo Brinker Chronicles. The books' enduring popularity and impact on lesbian identity has earned her the title ""Queen of Lesbian Pulp Fiction"".[1] Bannon was a young housewife trying to address her own issues of sexuality when she was inspired to write her first novel. Her subsequent books featured four characters who reappeared throughout the series, including her eponymous heroine, Beebo Brinker, who came to embody the archetype of a butch lesbian. The majority of her characters mirrored people she knew, but their stories reflected a life she did not feel she was able to live. Despite her traditional upbringing and role in married life, her novels defied conventions for romance stories and depictions of lesbians by addressing complex homosexual relationships.",Success,1932,None
261,Anna Laetitia Barbauld,Female,"Anna Laetitia Barbauld (/bɑːrˈboʊld/, by herself possibly /bɑːrˈboʊ/, as in French, née Aikin; 20 June 1743 – 9 March 1825[1]) was a prominent English poet, essayist, literary critic, editor, and author of children's literature.",Success,None,None
262,Natalie Clifford Barney,Female,"Natalie Clifford Barney (October 31, 1876 – February 2, 1972) was an American playwright, poet and novelist who lived as an expatriate in Paris.",Success,1876,None
263,Enid Blyton,Female,"Enid Mary Blyton (11 August 1897 – 28 November 1968) was an English children's writer whose books have been among the world's best-sellers since the 1930s, selling more than 600 million copies. Blyton's books are still enormously popular, and have been translated into 90 languages. She wrote on a wide range of topics including education, natural history, fantasy, mystery, and biblical narratives and is best remembered today for her Noddy, Famous Five and Secret Seven series.",Success,1897,None
264,R. V. C. Bodley,Male,"Ronald Victor Courtenay Bodley, MC (3 March 1892 – 26 May 1970) was a British Army officer, author and journalist. Born to English parents in Paris, he lived in France until he was nine, before attending Eton College and then the Royal Military College, Sandhurst. He was commissioned in the King's Royal Rifle Corps and served with them during the First World War. After the war he spent seven years in the Sahara desert, and then travelled through Asia. Bodley wrote several books about his travels. He was considered among the most distinguished British writers on the Sahara, as well as one of the main western sources of information on the South Pacific Mandate.",Success,1892,1970
265,Cædmon,Male,"  Memorial to Cædmon, St Mary's Churchyard, Whitby. The inscription reads, ""To the glory of God and in memory of Cædmon the father of English Sacred Song. Fell asleep hard by, 680.""",Success,None,None
266,Neville Cardus,Male,"Sir John Frederick Neville Cardus, CBE (2 April 1888 – 28 February 1975) was an English writer and critic. From an impoverished home background, and mainly self-educated, he became The Manchester Guardian's cricket correspondent in 1919 and its chief music critic in 1927, holding the two posts simultaneously until 1940. His contributions to these two distinct fields in the years before the Second World War established his reputation as one of the foremost critics of his generation.",Success,None,None
267,Rachel Carson,Female,"Rachel Louise Carson (May 27, 1907 – April 14, 1964) was an American marine biologist, author, and conservationist whose book Silent Spring and other writings are credited with advancing the global environmental movement.",Success,1907,1964
268,Anton Chekhov,Male,This name uses Eastern Slavic naming customs; the patronymic is Pavlovich and the family name is Chekhov.,Failure,1860,1904
269,Colley Cibber,Male,"Colley Cibber (6 November 1671 – 11 December 1757[1]) was an English actor-manager, playwright and Poet Laureate. His colourful memoir Apology for the Life of Colley Cibber (1740) describes his life in a personal, anecdotal and even rambling style. He wrote 25 plays for his own company at Drury Lane, half of which were adapted from various sources, which led Robert Lowe and Alexander Pope, among others, to criticise his ""miserable mutilation"" of ""crucified Molière [and] hapless Shakespeare"". He regarded himself as first and foremost an actor and had great popular success in comical fop parts, while as a tragic actor he was persistent but much ridiculed. Cibber's brash, extroverted personality did not sit well with his contemporaries, and he was frequently accused of tasteless theatrical productions, shady business methods, and a social and political opportunism that was thought to have gained him the laureateship over far better poets. He rose to ignominious fame when he became the chief target, the head Dunce, of Alexander Pope's satirical poem The Dunciad.",Success,1671,1757
270,Brunette Coleman,Male,"Brunette Coleman was a pseudonym used by the poet and writer Philip Larkin. In 1943, towards the end of his time as an undergraduate at St John's College, Oxford, he wrote several works of fiction, verse and critical commentary under that name, including  homoerotic stories that parody the style of popular writers of contemporary girls' school fiction.",Success,None,None
271,Noël Coward,Male,"Sir Noël Peirce Coward (16 December 1899 – 26 March 1973) was an English playwright, composer, director, actor and singer, known for his wit, flamboyance, and what Time magazine called ""a sense of personal style, a combination of cheek and chic, pose and poise"".[1]",Success,None,None
272,Stephen Crane,Male,"Stephen Crane (November 1, 1871 – June 5, 1900) was an American poet, novelist, and short story writer. Prolific throughout his short life, he wrote notable works in the Realist tradition as well as early examples of American Naturalism and Impressionism.  He is recognized by modern critics as one of the most innovative writers of his generation.",Success,None,None
273,John Day (printer),Male,"John Day (or Daye) (c. 1522[1] – 23 July 1584) was an English Protestant printer. He specialised in printing and distributing Protestant literature and pamphlets, and produced many small-format religious books, such as ABCs, sermons, and translations of psalms. He found fame, however, as the publisher of John Foxe's Actes and Monuments, also known as the Book of Martyrs, the largest and most technologically accomplished book printed in sixteenth-century England.[2]",Success,None,None
274,Emily Dickinson,Female,"Dickinson was born in Amherst, Massachusetts, into a prominent family with strong ties to its community. After studying at the Amherst Academy for seven years in her youth, she briefly attended the Mount Holyoke Female Seminary before returning to her family's house in Amherst.",Success,1830,None
275,Du Fu,Male,"Along with Li Bai (Li Po), he is frequently called the greatest of the Chinese poets.[1] His  greatest ambition was to serve his country as a successful civil servant, but he proved unable to make the necessary accommodations. His life, like the whole country, was devastated by the An Lushan Rebellion of 755, and his last 15 years were a time of almost constant unrest.",Failure,None,None
276,Early life of Samuel Johnson,Male,"Samuel Johnson (18 September 1709 [O.S. 7 September] – 13 December 1784) was an English author born in Lichfield, Staffordshire. He was a sickly infant who early on began to exhibit the tics that would influence how people viewed him in his later years. From childhood he displayed great intelligence and an eagerness for learning, but his early years were dominated by his family's financial strain and his efforts to establish himself as a school teacher.",Success,None,None
277,Isabelle Eberhardt,Female,"Isabelle Wilhelmine Marie Eberhardt (17 February 1877 – 21 October 1904) was a Swiss explorer and author. As a teenager, Eberhardt, educated in Switzerland by her father, published short stories under a male pseudonym. She became interested in North Africa, and was considered a proficient writer on the subject despite learning about the region only through correspondence. After an invitation from photographer Louis David, Eberhardt moved to Algeria in May 1897. She dressed as a man and converted to Islam, eventually adopting the name Si Mahmoud Saadi. Eberhardt's unorthodox behaviour made her an outcast among European settlers in Algeria and the French administration.",Success,None,None
278,Edmund Evans,Male,"  Illustration from ""The House that Jack Built"" in The Complete Collection of Pictures & Songs; engraving and printing by Edmund Evans, illustration by Randolph Caldecott (1887)",Success,None,None
279,Zelda Fitzgerald,Female,"Zelda Fitzgerald (née Sayre; July 24, 1900 – March 10, 1948) was an American novelist, socialite, painter and wife of author F. Scott Fitzgerald.",Success,1900,1948
280,Ian Fleming,Male,"Ian Lancaster Fleming (28 May 1908 – 12 August 1964) was an English author, journalist and naval intelligence officer who is best known for his James Bond series of spy novels. Fleming came from a wealthy family connected to the merchant bank Robert Fleming & Co., and his father was the Member of Parliament for Henley from 1910 until his death on the Western Front in 1917. Educated at Eton, Sandhurst and, briefly, the universities of Munich and Geneva, Fleming moved through several jobs before he started writing.",Success,None,None
281,Stella Gibbons,Female,"Stella Dorothea Gibbons (5 January 1902 – 19 December 1989) was an English author, journalist, and poet. She established her reputation with her first novel, Cold Comfort Farm (1932) which has been reprinted many times. Although she was active as a writer for half a century, none of her later 22 novels or other literary works—which included a sequel to Cold Comfort Farm—achieved the same  critical or popular success. Much of her work was long out of print  before a modest revival in the 21st century.",Success,None,None
282,William Gibson,Male,"William Ford Gibson (born March 17, 1948) is an American-Canadian speculative fiction writer and essayist widely credited with pioneering the science fiction subgenre known as cyberpunk. Beginning his writing career in the late 1970s, his early works were noir, near-future stories that explored the effects of technology, cybernetics, and computer networks on humans—a ""combination of lowlife and high tech""[3]—and helped to create an iconography for the information age before the ubiquity of the Internet in the 1990s.[4] Gibson notably coined the term ""cyberspace"" for ""widespread, interconnected digital technology"" in his short story ""Burning Chrome"" (1982), and later popularized the concept in his acclaimed debut novel Neuromancer (1984). These early works of Gibson's have been credited with ""renovating"" science fiction literature in the 1980s.",Success,1948,None
283,W. S. Gilbert,Male,"Sir William Schwenck Gilbert[n 1] (18 November 1836 – 29 May 1911) was an English dramatist, librettist, poet and illustrator best known for his collaboration with composer Arthur Sullivan, which produced fourteen comic operas. The most famous of these include H.M.S. Pinafore, The Pirates of Penzance and one of the most frequently performed works in the history of musical theatre, The Mikado.[1] The popularity of these works was supported for over a century by year-round performances of them, in Britain and abroad, by the repertory company that Gilbert, Sullivan and their producer Richard D'Oyly Carte founded, the D'Oyly Carte Opera Company. These Savoy operas continue to be frequently performed in the English-speaking world and beyond.[2]",Success,None,None
284,Joseph Grimaldi,Male,"Joseph Grimaldi (18 December 1778 – 31 May 1837) was an English actor, comedian and dancer, who became the most popular English entertainer of the Regency era.[1] In the early 1800s, he expanded the role of Clown in the harlequinade that formed part of British pantomimes, notably at the Theatre Royal, Drury Lane and the Sadler's Wells and Covent Garden theatres.  He became so dominant on the London comic stage that the harlequinade role of Clown became known as ""Joey"", and both the nickname and Grimaldi's whiteface make-up design were, and still are, used by other types of clowns. Grimaldi originated catchphrases such as ""Here we are again!"", which continue to feature in modern pantomimes.",Success,1780,None
285,Rufus Wilmot Griswold,Male,"Rufus Wilmot Griswold (February 13, 1815 – August 27, 1857) was an American anthologist, editor, poet, and critic. Born in Vermont, Griswold left home when he was 15 years old. He worked as a journalist, editor, and critic in Philadelphia, New York City, and elsewhere. He built up a strong literary reputation, in part due to his 1842 collection The Poets and Poetry of America. This anthology, the most comprehensive of its time, included what he deemed the best examples of American poetry. He produced revised versions and similar anthologies for the remainder of his life, although many of the poets he promoted have since faded into obscurity. Many writers hoped to have their work included in one of these editions, although they commented harshly on Griswold's abrasive character. Griswold was married three times: his first wife died young, his second marriage ended in a public and controversial divorce, and his third wife left him after the previous divorce was almost repealed.",Success,1815,None
286,Richard Hakluyt,Male,"Richard Hakluyt (/ˈhæklʊt, ˈhæklət, ˈhækəlwɪt/;[1] 1553 – 23 November 1616) was an English writer. He is known for promoting the English colonization of North America through his works, notably Divers Voyages Touching the Discoverie of America (1582) and The Principall Navigations, Voiages, Traffiques and Discoueries of the English Nation (1589–1600).",Success,1553,None
287,Amir Hamzah,Male,"Tengku Amir Hamzah (February 1911 – 20 March 1946)[a] was an Indonesian poet and National Hero of Indonesia. Born into a Malay aristocratic family in the Sultanate of Langkat in North Sumatra, he was educated in both Sumatra and Java. While attending senior high school in Surakarta around 1930, the youth became involved with the nationalist movement and fell in love with a Javanese schoolmate, Ilik Sundari. Even after Amir continued his studies in legal school in Batavia (now Jakarta) the two remained close, only separating in 1937 when Amir was recalled to Sumatra to marry the sultan's daughter and take on responsibilities of the court. Though unhappy with his marriage, he fulfilled his courtly duties. After Indonesia proclaimed its independence in 1945, he served as the government's representative in Langkat. The following year he was killed in a socialist revolution led by the Communist Party of Indonesia and buried in a mass grave.",Success,1911,None
288,H.D.,Female,"Hilda Doolittle (September 10, 1886 – September 27, 1961) was an American poet, novelist, and memoirist, associated with the early 20th century avant-garde Imagist group of poets, including Ezra Pound and Richard Aldington. She published under the pen name H.D.",Success,None,None
289,Ernest Hemingway,Male,"Ernest Miller Hemingway (July 21, 1899 – July 2, 1961) was an American journalist, novelist, short-story writer, and sportsman. His economical and understated style—which he termed the iceberg theory—had a strong influence on 20th-century fiction, while his adventurous lifestyle and his public image brought him admiration from later generations. Hemingway produced most of his work between the mid-1920s and the mid-1950s, and he won the Nobel Prize in Literature in 1954. He published seven novels, six short-story collections, and two nonfiction works. Three of his novels, four short-story collections, and three nonfiction works were published posthumously. Many of his works are considered classics of American literature.",Success,None,None
290,George Herriman,Male,"George Joseph Herriman (August 22, 1880 – April 25, 1944) was an American cartoonist best known for the comic strip Krazy Kat (1913–1944).  More influential than popular, Krazy Kat had an appreciative audience among those in the arts. Gilbert Seldes' article ""The Krazy Kat Who Walks by Himself"" was the earliest example of a critic from the high arts giving serious attention to a comic strip. The Comics Journal placed the strip first on its list of the greatest comics of the 20th century. Herriman's work has been a primary influence on cartoonists such as Will Eisner, Charles M. Schulz, Robert Crumb, Art Spiegelman, Bill Watterson, and Chris Ware.",Success,1880,None
291,Georgette Heyer,Female,"Georgette Heyer (/ˈheɪ.ər/; 16 August 1902 – 4 July 1974) was an English historical romance and detective fiction novelist. Her writing career began in 1921, when she turned a story for her younger brother into the novel The Black Moth. In 1925 Heyer married George Ronald Rougier, a mining engineer. The couple spent several years living in Tanganyika Territory and Macedonia before returning to England in 1929. After her novel These Old Shades became popular despite its release during the General Strike, Heyer determined that publicity was not necessary for good sales. For the rest of her life, she refused to grant interviews, telling a friend: ""My private life concerns no one but myself and my family.""[2]",Success,1902,1974
292,Stanley Holloway,Male,"Stanley Augustus Holloway, OBE (1 October 1890 – 30 January 1982) was an English stage and film actor, humourist, singer, poet and monologist. He was famous for his comic and character roles on stage and screen, especially that of Alfred P. Doolittle in My Fair Lady. He was also renowned for his comic monologues and songs, which he performed and recorded throughout most of his 70-year career.",Success,None,None
293,Oliver Wendell Holmes Sr.,Male,"Oliver Wendell Holmes (/hoʊmz/; August 29, 1809 – October 7, 1894) was an American physician, poet, and polymath based in Boston. A member of the Fireside Poets, he was acclaimed by his peers as one of the best writers of the day. His most famous prose works are the ""Breakfast-Table"" series, which began with The Autocrat of the Breakfast-Table (1858). He was also an important medical reformer. In addition to his work as an author and poet, Holmes also served as a physician, professor, lecturer and inventor and, although he never practiced it, he received formal training in law.",Success,1829,None
294,E. W. Hornung,Male,"Ernest William Hornung (7 June 1866 – 22 March 1921) was an English author and poet known for writing the A. J. Raffles series of stories about a gentleman thief in late 19th-century London. Hornung was educated at Uppingham School; as a result of poor health he left the school in December 1883 to travel to Sydney, where he stayed for two years. He drew on his Australian experiences as a background when he began writing, initially short stories and later novels.",Unknown,None,None
295,Israel the Grammarian,Male,"Israel the Grammarian[a] (c. 895 – c. 965) was one of the leading European scholars of the mid-tenth century. In the 930s, he was at the court of King Æthelstan of England (r. 924–39). After Æthelstan's death, Israel successfully sought the patronage of Archbishop Rotbert of Trier and became tutor to Bruno, later the Archbishop of Cologne. In the late 940s Israel is recorded as a bishop, and at the end of his life he was a monk at the Benedictine monastery of Saint-Maximin in Trier.",Success,None,None
296,Joehana,Male,"Akhmad Bassah (also Bassakh; [axˈmad baˈsax]; fl. 1923–30), best known by the pen name Joehana ([juˈhana]; Perfected Spelling: Yuhana), was an author from the Dutch East Indies who wrote in Sundanese. He worked for a time on the railroad before becoming an author by 1923, and had a strong interest in social welfare; this interest influenced his novels. He was also a productive translator, dramatist, and reporter, and operated a company which offered writing services. Sources disagree when Joehana died; some offer 1930, while others give 1942–45.",Success,1923,None
297,Joseph Johnson (publisher),Male,"Joseph Johnson (15 November 1738 – 20 December 1809) was an influential 18th-century London bookseller and publisher. His publications covered a wide variety of genres and a broad spectrum of opinions on important issues. Johnson is best known for publishing the works of radical thinkers such as Mary Wollstonecraft, William Godwin, Thomas Malthus, Erasmus Darwin and Joel Barlow, feminist economist Priscilla Wakefield, as well as religious dissenters such as Joseph Priestley, Anna Laetitia Barbauld, Gilbert Wakefield, and George Walker.",Success,None,None
298,Samuel Johnson,Male,"""Johnsonism"" redirects here. For the political positions of Boris Johnson, see Boris Johnson § Political views and ideology.",Success,1709,1784
299,James Joyce,Male,"This article is about the 20th-century writer. For other people with the same name, see James Joyce (disambiguation).",Success,1882,1941
300,Franz Kafka,Male,"Franz Kafka[a] (3 July 1883 – 3 June 1924) was a German-speaking Bohemian novelist and short-story writer, widely regarded as one of the major figures of 20th-century literature. His work, which fuses elements of realism and the fantastic,[4] typically features isolated protagonists facing bizarre or surrealistic predicaments and incomprehensible socio-bureaucratic powers, and has been interpreted as exploring themes of alienation, existential anxiety, guilt, and absurdity.[5] His best known works include ""Die Verwandlung"" (""The Metamorphosis""), Der Process (The Trial), and Das Schloss (The Castle). The term Kafkaesque has entered the English language to describe situations like those found in his writing.[6]",Success,1982,None
301,Lat,Unknown,.mw-parser-output .tocright{float:right;clear:right;width:auto;background:none;padding:.5em 0 .8em 1.4em;margin-bottom:.5em}.mw-parser-output .tocright-clear-left{clear:left}.mw-parser-output .tocright-clear-both{clear:both}.mw-parser-output .tocright-clear-none{clear:none}Contents,Unknown,None,None
302,Ursula K. Le Guin,Female,"Ursula Kroeber Le Guin (/ˈkroʊbər lə ˈɡwɪn/;[1] October 21, 1929 – January 22, 2018) was an American author best known for her works of speculative fiction, including science fiction works set in her Hainish universe, and the Earthsea fantasy series. She was first published in 1959, and her literary career spanned nearly sixty years, yielding more than twenty novels and over a hundred short stories, in addition to poetry, literary criticism, translations, and children's books. Frequently described as an author of science fiction, Le Guin has also been called a ""major voice in American Letters"",[2] and herself said she would prefer to be known as an ""American novelist"".[3]",Success,1929,2018
303,John Le Mesurier,Male,"John Le Mesurier (/lə ˈmɛʒərər/,[1] born John Elton Le Mesurier Halliley; 5 April 1912 – 15 November 1983) was an English actor. He is perhaps best remembered for his comedic role as Sergeant Arthur Wilson in the BBC television situation comedy Dad's Army (1968–77).[2] A self-confessed ""jobbing actor"",[3] Le Mesurier appeared in more than 120 films across a range of genres, normally in smaller supporting parts.",Unknown,1949,None
304,Dan Leno,Male,"George Wild Galvin (20 December 1860 – 31 October 1904), better known by the stage name Dan Leno, was a leading English music hall comedian and musical theatre actor during the late Victorian era. He was best known, aside from his music hall act, for his dame roles in the annual pantomimes that were popular at London's Theatre Royal, Drury Lane, from 1888 to 1904.",Success,None,None
305,Lie Kim Hok,Male,"Lie Kim Hok (Chinese: 李金福; pinyin: Lǐ Jīnfú; Pe̍h-ōe-jī: Lì Kim-hok; 1 November 1853 – 6 May 1912) was a peranakan Chinese teacher, writer, and social worker active in the Dutch East Indies and styled the ""father of Chinese Malay literature"". Born in Buitenzorg (now Bogor), West Java, Lie received his formal education in missionary schools and by the 1870s was fluent in Sundanese, vernacular Malay, and Dutch, though he was unable to understand Chinese. In the mid-1870s he married and began working as the editor of two periodicals published by his teacher and mentor D. J. van der Linden. Lie left the position in 1880. His wife died the following year. Lie published his first books, including the critically acclaimed syair (poem) Sair Tjerita Siti Akbari and grammar book Malajoe Batawi, in 1884. When van der Linden died the following year, Lie purchased the printing press and opened his own company.",Success,1853,None
306,Little Tich,Male,"Harry Relph (21 July 1867 – 10 February 1928),[1] professionally known as Little Tich, was a 4-foot-6-inch (137 cm) tall English music hall comedian and dancer during the late 19th and early 20th centuries. He was best known for his acrobatic and comedic Big-Boot Dance, which he performed in Europe and for which he wore boots with soles 28 inches (71 cm) long. Aside from his music hall appearances, he was also a popular performer in Christmas pantomimes and appeared in them annually at theatres throughout the English provinces. He repeated this success in London, where he appeared in three pantomimes at the Theatre Royal, Drury Lane between 1891 and 1893 alongside Dan Leno and Marie Lloyd.",Success,1880,None
307,Marie Lloyd,Female,"Matilda Alice Victoria Wood (12 February 1870 – 7 October 1922), professionally known as Marie Lloyd /ˈmɑːri/;[1] was an English music hall singer, comedian and musical theatre actress. She was best known for her performances of songs such as ""The Boy I Love Is Up in the Gallery"", ""My Old Man (Said Follow the Van)"" and ""Oh Mr Porter What Shall I Do"". She received both criticism and praise for her use of innuendo and double entendre during her performances, but enjoyed a long and prosperous career, during which she was affectionately called the ""Queen of the Music Hall"".",Success,1884,None
308,James Russell Lowell,Male,"James Russell Lowell (/ˈloʊəl/; February 22, 1819 – August 12, 1891) was an American Romantic poet, critic, editor, and diplomat. He is associated with the Fireside Poets, a group of New England writers who were among the first American poets that rivaled the popularity of British poets. These writers usually used conventional forms and meters in their poetry, making them suitable for families entertaining at their fireside.",Success,1819,1891
309,Nigel Kneale,Male,"Thomas Nigel Kneale (18 April 1922 – 29 October 2006) was a British screenwriter. He wrote professionally for more than 50 years, was a winner of the Somerset Maugham Award, and was twice nominated for the BAFTA Award for Best British Screenplay. In 2000, he received the Lifetime Achievement Award from the Horror Writers Association.",Success,1922,2006
310,H. C. McNeile,Male,"Herman Cyril McNeile, MC (28 September 1888 – 14 August 1937), commonly known as Cyril McNeile and publishing under the name H. C. McNeile or the pseudonym Sapper, was a British soldier and author. Drawing on his experiences in the trenches during the First World War, he started writing short stories and getting them published in the Daily Mail. As serving officers in the British Army were not permitted to publish under their own names, he was given the pen name ""Sapper"" by Lord Northcliffe, the owner of the Daily Mail; the nickname was based on that of his corps, the Royal Engineers.",Unknown,None,None
311,Bruno Maddox,Male,Bruno P. Maddox (born 1969) is a British literary novelist and journalist who is best known for his novel My Little Blue Dress (2001) and for his satirical magazine essays.,Success,None,None
312,Olivia Manning,Female,"Olivia Mary Manning CBE (2 March 1908 – 23 July 1980) was a British novelist, poet, writer, and reviewer. Her fiction and non-fiction, frequently detailing journeys and personal odysseys, were principally set in the United Kingdom, Europe, and the Middle East. She often wrote from her personal experience, though her books also demonstrate strengths in imaginative writing. Her books are widely admired for her artistic eye and vivid descriptions of place.",Success,1908,1980
313,Francis Marrash,Male,"Francis bin Fathallah bin Nasrallah Marrash (Arabic: فرنسيس بن فتح الله بن نصر الله مرّاش, ALA-LC: Fransīs bin Fatḥ Allāh bin Naṣr Allāh Marrāsh; born 1835,[1] 1836,[2][a] or 1837;[4][b] died 1873[6] or 1874[1]), also known as Francis al-Marrash or Francis Marrash al-Halabi, was a Syrian scholar,[7] publicist,[7] writer and poet of the Nahda or the Arab Renaissance, and a physician. Most of his works revolve around science, history and religion, analysed under an epistemological light. He traveled throughout Western Asia and France in his youth, and after some medical training and a year of practice in his native Aleppo, during which he wrote several works, he enrolled in a medical school in Paris; yet, declining health and growing blindness forced him to return to Aleppo, where he produced more literary works until his early death.",Unknown,1835,None
314,Master Juba,Male,"Master Juba (ca. 1825 – ca. 1852 or 1853) was an African-American dancer active in the 1840s. He was one of the first black performers in the United States to play onstage for white audiences and the only one of the era to tour with a white minstrel group. His real name was believed to be William Henry Lane,  and he was also known as ""Boz's Juba"" following Dickens's graphic description of him in American Notes.[1]",Success,None,None
315,Frank Matcham,Male,"Frank Matcham (22 November 1854 – 17 May 1920)[1] was an English theatre architect and designer.  During his 40-year career, he was responsible for the design and construction of over 90 theatres and the redesign and refurbishment of a further 80 throughout the United Kingdom. Matcham was best known for his work in London, under Moss Empires, which included the designs of the Hippodrome (1900), Hackney Empire (1901), London Coliseum (1903), London Palladium (1910), and the Victoria Palace (1911). According to the dramatist Alan Bennett, there was a Matcham theatre in every corner of the UK.",Success,None,None
316,Nancy Mitford,Female,"Nancy Freeman-Mitford CBE (28 November 1904 – 30 June 1973), known as Nancy Mitford,[n 1] was an English novelist, biographer and journalist. The eldest of the Mitford sisters, she was regarded as one of the ""Bright Young People"" on the London social scene in the inter-war years. She wrote several novels about upper-class life in England and France and was considered a sharp and often provocative wit. She also established a reputation for herself as a writer of popular historical biographies.",Success,1904,1973
317,George Moore (novelist),Male,"George Augustus Moore (24 February 1852 – 21 January 1933) was an Irish novelist, short-story writer, poet, art critic, memoirist and dramatist. Moore came from a Roman Catholic landed family who lived at Moore Hall in Carra, County Mayo.[1] He originally wanted to be a painter, and studied art in Paris during the 1870s. There, he befriended many of the leading French artists and writers of the day.",Success,1852,1933
318,Laurence Olivier,Male,"Laurence Kerr Olivier, Baron Olivier, OM (/ˈlɒrəns ˈkɜːr əˈlɪvieɪ/; 22 May 1907 – 11 July 1989) was an English actor and director who, along with his contemporaries Ralph Richardson, Peggy Ashcroft and John Gielgud, dominated the British stage of the mid-20th century. He also worked in films throughout his career, playing more than fifty cinema roles. Late in his career, he had considerable success in television roles.",Success,None,None
319,George Robey,Male,"Sir George Edward Wade, CBE (20 September 1869 – 29 November 1954),[1] known professionally as George Robey, was an English comedian, singer and actor in musical theatre, who became known as one of the greatest music hall performers of the late 19th and early 20th centuries. As a comedian, he mixed everyday situations and observations with comic absurdity. Apart from his music hall acts, he was a popular Christmas pantomime performer in the English provinces, where he excelled in the dame roles. He scored notable successes in musical revues during and after the First World War, particularly with the song ""If You Were the Only Girl (In the World)"", which he performed with Violet Loraine in the revue The Bing Boys Are Here (1916). One of his best-known original characters in his six-decade long career was the Prime Minister of Mirth.",Success,None,None
